DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;DEPMUNI;CIUDADES28;Clase;P1987;P1988;P1988S1;P1989;P1990
600000;235;1;1;1;942.7865899;00000;1;Cabecera;2;1;1;3;1
600001;235;1;1;1;825.00296847;00000;1;Cabecera;3;1;1;3;1
600002;235;1;1;1;642.87109712;00000;1;Cabecera;2;1;1;1;1
600003;235;1;1;1;1568.8798674;00000;1;Cabecera;1;1;1;2;1
600004;235;1;1;1;530.31745682;00000;1;Cabecera;2;1;1;2;1
600005;235;1;1;1;235.69664748;00000;1;Cabecera;2;1;1;3;1
600006;235;1;1;1;235.69664748;00000;1;Cabecera;2;1;1;1;1
600007;235;1;1;1;235.69664748;00000;1;Cabecera;2;1;1;1;1
600008;235;1;1;1;317.50637027;00000;1;Cabecera;1;1;1;1;1
600009;235;1;1;1;384.90644501;00000;1;Cabecera;1;1;1;1;1
600010;235;1;1;1;235.69664748;00000;1;Cabecera;2;1;1;2;1
600011;235;1;1;1;235.69664748;00000;1;Cabecera;1;1;1;2;1
600012;235;1;1;1;530.31745682;00000;1;Cabecera;2;1;1;2;1
600013;235;1;1;1;354.7411147;00000;1;Cabecera;2;1;1;2;1
600014;235;1;1;1;530.31745682;00000;1;Cabecera;1;1;1;2;1
600015;235;1;1;1;530.31745682;00000;1;Cabecera;1;1;1;1;1
600016;235;1;1;1;851.75300538;00000;1;Cabecera;2;1;1;1;1
600017;235;1;1;1;530.31745682;00000;1;Cabecera;1;1;1;2;1
600018;235;1;1;1;84.526358705;00000;1;Cabecera;1;1;3;1;1
600019;235;1;1;1;236.41199915;00000;1;Cabecera;1;1;3;1;1
600020;235;1;1;1;119.40161206;00000;1;Cabecera;3;1;3;2;1
600021;235;1;1;1;156.28816769;00000;1;Cabecera;2;1;3;1;1
600022;235;1;1;1;138.55742758;00000;1;Cabecera;2;1;3;2;1
600023;235;1;1;1;140.7221974;00000;1;Cabecera;3;1;3;1;1
600024;235;1;1;1;161.1679695;00000;1;Cabecera;3;1;3;2;1
600025;235;1;1;1;148.90268676;00000;1;Cabecera;2;1;3;2;1
600026;235;1;1;1;159.55595556;00000;1;Cabecera;2;1;3;1;1
600027;235;1;1;1;119.91353785;00000;1;Cabecera;2;1;3;2;1
600028;235;1;1;1;132.83744949;00000;1;Cabecera;2;1;3;1;1
600029;235;1;1;1;109.53622432;00000;1;Cabecera;2;1;3;1;1
600030;235;1;1;1;88.558299661;00000;1;Cabecera;1;1;3;1;1
600031;235;1;1;1;112.03501327;00000;1;Cabecera;1;1;4;1;1
600032;235;1;1;1;107.445313;00000;1;Cabecera;1;1;3;1;1
600033;235;1;1;1;79.601074708;00000;1;Cabecera;2;1;3;2;1
600034;235;1;1;1;79.601074708;00000;1;Cabecera;2;1;3;1;1
600035;235;1;1;1;109.53622432;00000;1;Cabecera;2;1;3;1;1
600036;235;1;1;1;93.814798268;00000;1;Cabecera;2;1;3;2;1
600037;235;1;1;1;124.14999299;00000;1;Cabecera;3;1;3;2;1
600038;235;1;1;1;69.030462744;50001;1;Cabecera;1;1;3;1;1
600039;235;1;1;1;69.738232858;50001;1;Cabecera;2;1;3;3;1
600040;235;1;1;1;53.652478095;50001;1;Cabecera;2;1;1;1;1
600041;235;1;1;1;92.599024541;50001;1;Cabecera;2;1;2;2;1
600042;235;1;1;1;57.75403985;50001;1;Cabecera;1;1;1;2;1
600043;235;1;1;1;54.875634728;50001;1;Cabecera;2;1;2;1;1
600044;235;1;1;1;51.826168608;50001;1;Cabecera;1;1;1;1;1
600045;235;1;1;1;73.636170106;50001;1;Cabecera;1;1;3;1;1
600046;235;1;1;1;81.558370343;50001;1;Cabecera;2;1;2;2;1
600047;235;1;1;1;77.410832513;50001;1;Cabecera;1;1;3;2;1
600048;235;1;1;1;78.42746978;50001;1;Cabecera;1;1;3;3;1
600049;235;1;1;1;69.854666268;50001;1;Cabecera;2;1;3;2;1
600050;235;1;1;1;49.436357449;50001;1;Cabecera;1;1;2;1;1
600051;235;1;1;1;57.647309224;50001;1;Cabecera;3;1;1;2;1
600052;235;1;1;1;120.15095337;50001;1;Cabecera;1;1;2;1;1
600053;235;1;1;1;57.222861927;50001;1;Cabecera;2;1;1;2;1
